height,cohesion,friction_angle,unit_weight,slope_angle,water_depth_ratio,rainfall_mm_7d,temperature_c,vibrations_ms2,risk_level
6.754419122,16.67358646,35.26531034,21.72596225,38.5394784,0.297945821,74.01,28.6,0.0221,High
26.43366863,17.34994413,39.85921909,20.70294485,27.52746369,0.316110071,74.01,27.28,0.0146,Medium
44.77502555,10.8543325,33.34841868,19.68552703,56.81966138,0.343159022,74.01,24.0,0.0398,High
14.18217845,11.9499547,23.42955201,17.3544976,34.72176939,0.654474453,74.01,28.35,0.0439,High
15.19974994,19.94801147,30.67206389,17.23555557,64.48660365,0.768633839,74.01,26.57,0.0192,Low
30.39686515,16.67358646,25.08576968,20.62186896,54.26529763,0.579527133,74.01,24.61,0.1391,Low
10.24616673,16.67358646,28.53599906,18.61280544,54.47124596,0.575903176,74.01,25.61,0.1286,Medium
14.06576731,6.429249559,22.394449,17.82073133,31.70972128,0.137679882,74.01,28.64,0.0579,High
34.41326617,16.67358646,25.35446309,16.49865473,63.32084341,0.783267078,223.27,33.9,0.0581,Medium
47.25932268,16.67358646,24.80061844,20.42764754,56.6127992,0.330766781,74.01,31.1,0.0552,High
28.87480514,16.81749194,22.86491938,18.54433735,47.14742888,0.710439408,54.43,14.48,0.0321,High
9.931499591,5.505500021,26.54004732,18.0306025,69.893418,0.53158161,74.01,15.21,0.0299,Medium
10.29440183,16.67358646,23.72637452,18.86115895,56.71225176,0.257675583,74.01,23.32,0.0503,Low
30.39686515,16.67358646,25.08576968,20.62186896,54.26529763,0.579527133,74.01,24.61,0.1391,Low
17.32311169,16.67358646,38.07334777,19.74945884,57.9541939,0.549889343,101.92,18.07,0.0769,Medium
11.5831694,16.67358646,28.05660763,18.8863957,68.11203217,0.569924853,65.62,17.13,0.0648,High
23.05481267,16.67358646,34.28638041,20.65710405,60.65104169,0.391598314,74.01,28.8,0.1333,Low
33.00660103,16.67358646,42.7396895,18.40157953,61.40606286,0.103933709,74.01,25.51,0.0254,Low
44.99940345,16.67358646,26.24427994,20.08530186,29.25238255,0.24471687,74.01,29.31,0.0669,High
15.19974994,19.94801147,30.67206389,17.23555557,64.48660365,0.768633839,74.01,26.57,0.0192,Low
13.54868846,16.67358646,38.14905678,18.39150073,59.21479977,0.402359931,132.29,28.99,0.0601,Medium
47.63395795,16.67358646,44.87955853,18.32431413,47.46206368,0.761061705,74.01,29.24,0.0962,High
39.55858081,8.579624365,29.939661805,17.36956077,47.0078328,0.245839277,74.01,21.29,0.1591,High
23.05481267,16.67358646,34.28638041,20.65710405,60.65104169,0.391598314,74.01,28.8,0.1333,Low
21.80109466,16.09738704,32.5142989,18.85662413,66.35841877,0.482414996,74.01,33.94,0.099,Medium
24.53582618,16.67358646,44.62866816,19.32260186,46.24414722,0.297467693,74.01,17.09,0.0337,Low
9.931499591,5.505500021,26.54004732,18.0306025,69.893418,0.53158161,74.01,15.21,0.0299,Medium
23.93098007,11.08074769,33.77041316,19.78657653,55.66258689,0.672579081,74.01,26.42,0.0845,Low
18.69139775,16.67358646,22.67044294,17.31027563,56.95201937,0.4780355,74.01,29.83,0.0327,High
10.29440183,16.67358646,23.72637452,18.86115895,56.71225176,0.257675583,74.01,23.32,0.0503,Low
42.60628862,13.22348275,20.61305399,16.16457831,54.48363119,0.608824113,74.01,28.3,0.0106,Low
32.80122594,16.00467503,33.92752342,17.41308694,51.9867944,0.634544303,74.01,25.84,0.1166,Medium
14.30195847,16.67358646,29.84007555,18.0560338,60.99060455,0.20996106,74.01,18.16,0.0216,Medium
45.03809007,16.67358646,34.3195627,17.51430904,55.01531769,0.343796305,74.01,35.73,0.0089,High
23.40082437,16.67358646,26.60730626,19.08318485,58.87158814,0.196892759,74.01,22.31,0.0527,Low
28.53000772,16.67358646,34.99702532,19.77580123,68.91339247,0.630434382,67.33,23.12,0.0289,Low
16.94436929,7.924089773,33.30630674,17.0577295,54.6539544,0.58230165,74.01,30.85,0.0094,Medium
34.41326617,16.67358646,25.35446309,16.49865473,63.32084341,0.783267078,223.27,33.9,0.0581,Medium
14.30195847,16.67358646,29.84007555,18.0560338,60.99060455,0.20996106,74.01,18.16,0.0216,Medium
40.59914894,16.67358646,43.03996743,20.09253586,25.53419451,0.091876221,74.01,23.26,0.0182,High
33.21398418,5.780336575,30.67603392,16.17314628,50.77499214,0.777775937,184.67,20.1,0.0653,High
23.93098007,11.08074769,33.77041316,19.78657653,55.66258689,0.672579081,74.01,26.42,0.0845,Low
35.51090854,16.67358646,40.40057471,20.496218,25.53830917,0.148779236,74.01,21.97,0.0164,High
20.9027034,16.67358646,31.52193376,21.28104323,46.30310116,0.257883384,74.01,20.96,0.0496,High
24.53582618,16.67358646,44.62866816,19.32260186,46.24414722,0.297467693,74.01,17.09,0.0337,Low
9.931499591,5.505500021,26.54004732,18.0306025,69.893418,0.53158161,74.01,15.21,0.0299,Medium
13.11963468,16.67358646,31.33885067,20.25219973,28.24691185,0.279534742,67.39,23.67,0.0557,High
30.92082138,16.67358646,41.04752622,19.60363077,54.28556654,0.491075836,52.11,36.74,0.0628,Low
20.15539423,16.67358646,33.5048762,18.71622661,66.55229519,0.700341749,66.06,39.43,0.0394,Low
44.3902593,16.67358646,38.70666586,18.14194848,31.90598712,0.654356478,74.01,29.36,0.0297,High
43.03013407,14.25092207,36.3980775,16.01509178,34.22864747,0.196310098,74.01,32.26,0.1317,Medium
10.24616673,16.67358646,28.53599906,18.61280544,54.47124596,0.575903176,74.01,25.61,0.1286,Medium
21.42004963,16.67358646,31.9179848,20.23807586,48.36299849,0.713630054,74.01,16.04,0.0119,Low
23.40082437,16.67358646,26.60730626,19.08318485,58.87158814,0.196892759,74.01,22.31,0.0527,Low
46.42245674,16.67358646,28.98341698,18.98681791,22.27363953,0.277051932,74.01,31.65,0.0736,High
34.41326617,16.67358646,25.35446309,16.49865473,63.32084341,0.783267078,223.27,33.9,0.0581,Medium
34.76722387,16.67358646,27.24963339,19.86723857,65.0159439,0.527545866,74.01,16.45,0.0556,High
6.228312984,9.390719616,38.27164002,17.54663696,38.19112373,0.647514384,74.01,15.15,0.0071,High
44.61264583,16.67358646,35.24399495,20.55847473,41.54580462,0.157075697,74.01,40.0,0.0831,Low
21.80109466,16.09738704,32.5142989,18.85662413,66.35841877,0.482414996,74.01,33.94,0.099,Medium
18.96919274,49.31614512,24.39445568,17.22859154,28.26006649,0.623290056,74.01,24.21,0.0337,High
